N,p,sigma,theta,tmin,tmax,Dt,it_brownian,it_network,p_WS,r
1000,0.5,0.1,0.005,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.029500000000000005,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.054000000000000006,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.07850000000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.10300000000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.12750000000000003,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.15200000000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.17650000000000005,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.20100000000000004,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.22550000000000003,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.25000000000000006,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.25100000000000006,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.2759500000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.30090000000000006,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.3258500000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.3508000000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.3757500000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.4007000000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.4256500000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.4506000000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.47555000000000014,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.5005000000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.5254500000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.5504000000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.5753500000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.6003000000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.6252500000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.6502000000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.6751500000000001,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.7001000000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.7250500000000002,0.0,0.5,0.01,1,1,0.4,20
1000,0.5,0.1,0.7500000000000002,0.0,0.5,0.01,1,1,0.4,20
